120.46156462585034,15,"{'transitiontime': 1, 'hue': 110, 'bri': 201, 'sat': 192}",beat,Unmodified
120.9143537414966,8,"{'transitiontime': 1, 'hue': 93, 'bri': 4, 'sat': 255}",beat,Unmodified
121.06240928882438,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 39, 'hue': 6649, 'bri': 180, 'sat': 255}",arc,Safe
122.46153846153847,14,"{'transitiontime': 45, 'hue': 32406, 'bri': 229, 'sat': 255}",low,Unmodified
123.050589569161,7,"{'transitiontime': 1, 'hue': 92, 'bri': 181, 'sat': 141}",beat,Unmodified
123.89811791383221,12,"{'transitiontime': 1, 'hue': 108, 'bri': 198, 'sat': 223}",beat,Unmodified
124.7456462585034,7,"{'transitiontime': 1, 'hue': 85, 'bri': 177, 'sat': 230}",beat,Unmodified
125.06095791001451,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 42, 'hue': 8878, 'bri': 177, 'sat': 255}",arc,Unmodified
126.0343537414966,8,"{'transitiontime': 1, 'hue': 86, 'bri': 0, 'sat': 138}",beat,Unmodified
126.21480406386067,14,"{'transitiontime': 31, 'hue': 27005, 'bri': 0, 'sat': 255}",high,Unmodified
126.4755328798186,7,"{'transitiontime': 1, 'hue': 88, 'bri': 177, 'sat': 247}",beat,Unmodified
126.90510204081633,12,"{'transitiontime': 1, 'hue': 99, 'bri': 11, 'sat': 193}",beat,Unmodified
127.32306122448981,12,"{'transitiontime': 1, 'hue': 100, 'bri': 192, 'sat': 214}",beat,Unmodified
129.33817126269957,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 37, 'hue': 7792, 'bri': 182, 'sat': 255}",arc,Safe
130.77122448979591,12,"{'transitiontime': 1, 'hue': 89, 'bri': 179, 'sat': 148}",beat,Unmodified
131.6187528344671,7,"{'transitiontime': 1, 'hue': 87, 'bri': 177, 'sat': 201}",beat,Unmodified
133.12772133526852,"[7, 8, 11, 12, 14, 15]","{'transitiontime': 36, 'hue': 9045, 'bri': 180, 'sat': 255}",arc,Safe
134.17294784580497,12,"{'transitiontime': 1, 'hue': 110, 'bri': 203, 'sat': 207}",beat,Unmodified
135.03208616780043,12,"{'transitiontime': 1, 'hue': 92, 'bri': 186, 'sat': 171}",beat,Unmodified
135.46165532879817,8,"{'transitiontime': 1, 'hue': 95, 'bri': 7, 'sat': 174}",beat,Unmodified
136.32079365079363,7,"{'transitiontime': 1, 'hue': 98, 'bri': 11, 'sat': 187}",beat,Unmodified
